repo_completo,numero_pr,titulo,autora,status,criado_em,atualizado_em,merged_em,dias_para_merge,numero_reviews,url
sindresorhus/awesome,3804,Add x402,sriakula1,CLOSED,2025-12-08T18:25:25Z,2026-04-01T08:17:56Z,,,1,https://github.com/sindresorhus/awesome/pull/3804
sindresorhus/awesome,3818,"Transit list: update link, add description",derhuerst,MERGED,2025-12-16T14:58:13Z,2026-04-01T08:25:17Z,2026-04-01T08:25:16+00:00,105,1,https://github.com/sindresorhus/awesome/pull/3818
sindresorhus/awesome,3503,Add cursorrules,PatrickJS,CLOSED,2025-06-26T02:44:18Z,2026-04-01T08:12:44Z,,,1,https://github.com/sindresorhus/awesome/pull/3503
sindresorhus/awesome,3555,Add Software Diagrams,alixander,CLOSED,2025-07-21T17:56:15Z,2026-04-01T09:03:10Z,,,1,https://github.com/sindresorhus/awesome/pull/3555
sindresorhus/awesome,3348,Add 0G,Gathin23,CLOSED,2025-02-03T08:05:54Z,2026-04-01T08:00:29Z,,,1,https://github.com/sindresorhus/awesome/pull/3348
sindresorhus/awesome,3511,Add Data Quality,e06084,CLOSED,2025-06-28T03:37:10Z,2026-03-31T20:29:23Z,,,1,https://github.com/sindresorhus/awesome/pull/3511
sindresorhus/awesome,3641,Add some definition,Froilan-design,CLOSED,2025-09-14T06:23:22Z,2026-03-31T18:48:37Z,,,1,https://github.com/sindresorhus/awesome/pull/3641
sindresorhus/awesome,3397,Add Ethical Hacking Roadmap,rodrigohenrik,CLOSED,2025-04-10T13:49:58Z,2026-04-01T07:50:14Z,,,1,https://github.com/sindresorhus/awesome/pull/3397
sindresorhus/awesome,4055,Add Wordlists,gmelodie,CLOSED,2026-03-30T15:21:30Z,2026-03-30T16:53:56Z,,,1,https://github.com/sindresorhus/awesome/pull/4055
sindresorhus/awesome,4001,Add Boat Tech from resources list,jeyrb,CLOSED,2026-03-13T13:06:43Z,2026-03-29T14:57:52Z,,,1,https://github.com/sindresorhus/awesome/pull/4001
sindresorhus/awesome,3957,Add Raspberry Pi,erkcet,CLOSED,2026-02-22T21:02:05Z,2026-03-18T06:47:54Z,,,1,https://github.com/sindresorhus/awesome/pull/3957
sindresorhus/awesome,3875,docs: Update outdated GitHub Actions version,pgoslatara,MERGED,2026-01-14T15:52:13Z,2026-03-04T07:50:03Z,2026-01-15T13:32:01+00:00,0,1,https://github.com/sindresorhus/awesome/pull/3875
sindresorhus/awesome,1269,Add flat badges to gh-pages branch,bokub,MERGED,2018-04-08T10:54:31Z,2026-03-01T08:58:08Z,2018-04-09T08:55:04+00:00,0,1,https://github.com/sindresorhus/awesome/pull/1269
sindresorhus/awesome,3621,Add Gemini CLI,bl-ue,MERGED,2025-09-04T01:20:53Z,2026-02-28T03:01:28Z,2025-10-28T15:32:56+00:00,54,1,https://github.com/sindresorhus/awesome/pull/3621
sindresorhus/awesome,3662,Add awesome-devops-platform - Platform Engineering resources,tysoncung,CLOSED,2025-09-22T06:26:54Z,2026-02-27T22:43:27Z,,,1,https://github.com/sindresorhus/awesome/pull/3662
sindresorhus/awesome,3719,Add Vibe Coding,tysoncung,CLOSED,2025-10-30T09:45:18Z,2026-02-27T22:43:24Z,,,1,https://github.com/sindresorhus/awesome/pull/3719
sindresorhus/awesome,3609,Add Cloud Projects,mzazon,CLOSED,2025-08-25T01:09:11Z,2026-02-24T07:43:21Z,,,1,https://github.com/sindresorhus/awesome/pull/3609
sindresorhus/awesome,3781,Add Parquet,tysoncung,CLOSED,2025-11-23T15:39:05Z,2026-02-23T10:27:25Z,,,1,https://github.com/sindresorhus/awesome/pull/3781
sindresorhus/awesome,3942,Add Code Docs to Miscellaneous,johnxie,CLOSED,2026-02-12T16:15:46Z,2026-02-18T00:09:16Z,,,1,https://github.com/sindresorhus/awesome/pull/3942
sindresorhus/awesome,3654,Add CDK TypeScript,tysoncung,CLOSED,2025-09-18T05:58:09Z,2026-02-23T04:37:59Z,,,1,https://github.com/sindresorhus/awesome/pull/3654
sindresorhus/awesome,3840,Add Student Perks,jhaxce,CLOSED,2025-12-28T05:37:55Z,2026-02-09T23:38:52Z,,,1,https://github.com/sindresorhus/awesome/pull/3840
sindresorhus/awesome,2607,Add OpenID Connect,emmanuelgautier,MERGED,2023-05-01T20:56:49Z,2026-02-23T09:07:37Z,2025-11-09T09:55:31+00:00,922,1,https://github.com/sindresorhus/awesome/pull/2607
sindresorhus/awesome,1327,Add CircuitPython,TheKitty,MERGED,2018-06-06T18:57:30Z,2026-02-04T04:52:54Z,2018-08-03T04:42:40+00:00,57,1,https://github.com/sindresorhus/awesome/pull/1327
sindresorhus/awesome,3915,eleven leadership,g77232-jpg,CLOSED,2026-02-01T15:58:37Z,2026-02-01T16:10:34Z,,,1,https://github.com/sindresorhus/awesome/pull/3915
sindresorhus/awesome,3856,docs: Improve contribution instructions for beginners,ahmasmibhanu,MERGED,2026-01-06T13:39:57Z,2026-01-19T00:13:21Z,2026-01-06T15:01:31+00:00,0,1,https://github.com/sindresorhus/awesome/pull/3856
sindresorhus/awesome,3869,Improve README wording for clarity,pranavbakanecoder,CLOSED,2026-01-10T16:04:12Z,2026-01-12T08:26:50Z,,,1,https://github.com/sindresorhus/awesome/pull/3869
sindresorhus/awesome,3411,Add Protein Structure Prediction & Design,yijun-lee,CLOSED,2025-04-19T15:17:55Z,2026-01-06T18:04:20Z,,,1,https://github.com/sindresorhus/awesome/pull/3411
sindresorhus/awesome,3658,Add Omarchy,aorumbayev,MERGED,2025-09-20T22:56:19Z,2026-01-05T00:16:51Z,2025-10-28T17:49:44+00:00,37,1,https://github.com/sindresorhus/awesome/pull/3658
sindresorhus/awesome,3256,"Add ""FOSS Alternatives""",hardBSDk,CLOSED,2024-11-01T16:22:48Z,2026-01-01T14:03:09Z,,,1,https://github.com/sindresorhus/awesome/pull/3256
sindresorhus/awesome,3210,Add WebGPU,ferminLR,MERGED,2024-09-20T21:37:36Z,2026-01-01T14:03:19Z,2025-05-15T11:49:06+00:00,236,1,https://github.com/sindresorhus/awesome/pull/3210
sindresorhus/awesome,3129,Add AI in Cybersecurity,ElNiak,CLOSED,2024-07-30T18:42:25Z,2026-01-01T14:03:28Z,,,1,https://github.com/sindresorhus/awesome/pull/3129
sindresorhus/awesome,3323,Add ATProto,darccio,MERGED,2025-01-03T19:49:15Z,2026-01-01T14:02:38Z,2025-05-15T12:37:25+00:00,131,1,https://github.com/sindresorhus/awesome/pull/3323
sindresorhus/awesome,3398,Add WebAssembly,thisisisa,MERGED,2025-04-11T10:05:00Z,2026-01-01T14:02:20Z,2025-07-05T23:21:42+00:00,85,1,https://github.com/sindresorhus/awesome/pull/3398
sindresorhus/awesome,208,Add Crystal programming language,veelenga,MERGED,2015-06-26T07:44:10Z,2025-12-27T20:23:43Z,2015-06-27T12:02:34+00:00,1,1,https://github.com/sindresorhus/awesome/pull/208
sindresorhus/awesome,3492,Add Reproductive Health Resource,bloo-berries,CLOSED,2025-06-16T12:59:02Z,2025-12-24T21:41:25Z,,,1,https://github.com/sindresorhus/awesome/pull/3492
sindresorhus/awesome,3830,Add TigerStyle,copyleftdev,CLOSED,2025-12-23T06:32:16Z,2025-12-23T12:35:09Z,,,1,https://github.com/sindresorhus/awesome/pull/3830
sindresorhus/awesome,3746,Add maintenance status indicator system to differentiate unmaintained repos,ssam18,CLOSED,2025-11-08T19:39:51Z,2025-12-03T01:18:21Z,,,1,https://github.com/sindresorhus/awesome/pull/3746
sindresorhus/awesome,1962,Run `awesome-lint` on new additions,RayBB,MERGED,2021-03-08T23:22:55Z,2025-12-01T12:06:40Z,2021-04-19T09:59:15+00:00,41,1,https://github.com/sindresorhus/awesome/pull/1962
sindresorhus/awesome,3153,Add VBA,sancarn,MERGED,2024-08-15T22:41:14Z,2025-12-18T04:00:24Z,2025-05-15T13:01:58+00:00,272,1,https://github.com/sindresorhus/awesome/pull/3153
sindresorhus/awesome,3729,Add GitHub Copilot,abhi-singhs,CLOSED,2025-11-02T06:21:57Z,2025-12-18T16:26:00Z,,,1,https://github.com/sindresorhus/awesome/pull/3729
sindresorhus/awesome,1794,Lint with awesome-lint via GitHub Actions,Richienb,CLOSED,2020-06-15T06:03:19Z,2025-11-25T22:50:00Z,,,1,https://github.com/sindresorhus/awesome/pull/1794
sindresorhus/awesome,3776,Add PyPI Packages,ViratiAkiraNandhanReddy,CLOSED,2025-11-22T15:25:50Z,2025-11-22T16:20:26Z,,,1,https://github.com/sindresorhus/awesome/pull/3776
sindresorhus/awesome,191,Added link to PlacesToPostYourStartup repo,mmccaff,MERGED,2015-06-16T14:49:21Z,2025-11-23T06:31:02Z,2015-06-16T23:29:45+00:00,0,1,https://github.com/sindresorhus/awesome/pull/191
sindresorhus/awesome,3774,Add ChatGPT Desktop link to readme.md,Vedavyasa21,CLOSED,2025-11-22T14:42:00Z,2025-11-23T07:07:10Z,,,1,https://github.com/sindresorhus/awesome/pull/3774
sindresorhus/awesome,3560,Add Tech Ethics,sampart,MERGED,2025-07-25T15:07:50Z,2025-11-19T01:46:07Z,2025-10-28T15:08:26+00:00,95,1,https://github.com/sindresorhus/awesome/pull/3560
sindresorhus/awesome,2541,Add Ukrainian IT Communities,grem11n,CLOSED,2023-03-08T17:10:35Z,2025-11-16T00:38:29Z,,,1,https://github.com/sindresorhus/awesome/pull/2541
sindresorhus/awesome,3146,Add Email Security,0xAnalyst,CLOSED,2024-08-11T08:01:17Z,2025-11-16T00:37:00Z,,,1,https://github.com/sindresorhus/awesome/pull/3146
sindresorhus/awesome,3455,Add Claude Code,hesreallyhim,MERGED,2025-05-23T06:14:56Z,2025-11-13T06:02:09Z,2025-06-11T12:48:07+00:00,19,1,https://github.com/sindresorhus/awesome/pull/3455
sindresorhus/awesome,3554,Add Copilot Agents,colbytimm,MERGED,2025-07-20T20:41:25Z,2025-11-12T08:51:42Z,2025-11-12T08:51:33+00:00,114,1,https://github.com/sindresorhus/awesome/pull/3554
sindresorhus/awesome,2051,Remove macOS Command Line,mifi,MERGED,2021-08-31T06:19:18Z,2025-11-10T01:48:39Z,2021-08-31T22:21:51+00:00,0,1,https://github.com/sindresorhus/awesome/pull/2051
sindresorhus/awesome,3742,Add 'Awesome Claude Contexts' to readme,apo-bozdag,CLOSED,2025-11-06T21:27:07Z,2025-11-06T23:49:20Z,,,1,https://github.com/sindresorhus/awesome/pull/3742
sindresorhus/awesome,3714,Add awesome-vibe-coding,tysoncung,CLOSED,2025-10-28T00:04:36Z,2025-10-30T14:49:12Z,,,1,https://github.com/sindresorhus/awesome/pull/3714
sindresorhus/awesome,3535,Add Audio Over IP,Mo-way,MERGED,2025-07-13T13:39:34Z,2025-10-28T17:47:17Z,2025-10-28T17:47:10+00:00,107,1,https://github.com/sindresorhus/awesome/pull/3535
sindresorhus/awesome,3465,Add telegram gifts,nakazanie-ton,CLOSED,2025-06-03T16:07:01Z,2025-10-28T14:07:04Z,,,1,https://github.com/sindresorhus/awesome/pull/3465
sindresorhus/awesome,3651,Add a playbook about test case design,Treeify-ai,CLOSED,2025-09-17T14:11:11Z,2025-10-28T15:42:18Z,,,1,https://github.com/sindresorhus/awesome/pull/3651
sindresorhus/awesome,3446,Add Free Tools,mathewlewallen,CLOSED,2025-05-13T11:38:25Z,2025-10-28T13:58:46Z,,,1,https://github.com/sindresorhus/awesome/pull/3446
