nome_completo,nome_repo,dono,url,estrelas,criado_em,atualizado_em,idade_dias,idade_anos,dias_desde_ultimo_push
spring-projects/spring-boot,spring-boot,spring-projects,https://github.com/spring-projects/spring-boot,80536,2012-10-19T15:02:57Z,2026-04-29T11:25:59Z,4940,13.525,1
vitejs/vite,vite,vitejs,https://github.com/vitejs/vite,80311,2020-04-21T05:03:57Z,2026-04-29T13:48:41Z,2200,6.0233,0
localsend/localsend,localsend,localsend,https://github.com/localsend/localsend,80085,2022-12-16T00:46:07Z,2026-04-30T10:06:01Z,1231,3.3703,0
junegunn/fzf,fzf,junegunn,https://github.com/junegunn/fzf,79900,2013-10-23T16:04:23Z,2026-04-27T17:02:22Z,4571,12.5147,2
infiniflow/ragflow,ragflow,infiniflow,https://github.com/infiniflow/ragflow,79302,2023-12-12T06:13:13Z,2026-04-30T10:56:43Z,870,2.3819,0
anuraghazra/github-readme-stats,github-readme-stats,anuraghazra,https://github.com/anuraghazra/github-readme-stats,79202,2020-07-09T10:34:22Z,2026-03-31T00:50:07Z,2121,5.807,30
hoppscotch/hoppscotch,hoppscotch,hoppscotch,https://github.com/hoppscotch/hoppscotch,79067,2019-08-21T13:15:24Z,2026-04-30T09:17:43Z,2443,6.6886,0
openai/codex,codex,openai,https://github.com/openai/codex,79063,2025-04-13T05:37:54Z,2026-04-30T11:26:55Z,382,1.0459,0
vllm-project/vllm,vllm,vllm-project,https://github.com/vllm-project/vllm,78667,2023-02-09T11:23:20Z,2026-04-30T10:31:09Z,1176,3.2197,0
netdata/netdata,netdata,netdata,https://github.com/netdata/netdata,78654,2013-06-17T18:39:10Z,2026-04-30T11:20:43Z,4699,12.8652,0
karpathy/autoresearch,autoresearch,karpathy,https://github.com/karpathy/autoresearch,78019,2026-03-06T22:00:43Z,2026-03-26T00:07:37Z,54,0.1478,35
Stirling-Tools/Stirling-PDF,Stirling-PDF,Stirling-Tools,https://github.com/Stirling-Tools/Stirling-PDF,78008,2023-01-27T18:22:42Z,2026-04-30T11:29:02Z,1188,3.2526,0
tensorflow/models,models,tensorflow,https://github.com/tensorflow/models,77667,2016-02-05T01:15:20Z,2026-04-29T15:30:42Z,3737,10.2313,0
d2l-ai/d2l-zh,d2l-zh,d2l-ai,https://github.com/d2l-ai/d2l-zh,77531,2017-08-23T04:40:24Z,2024-07-30T09:32:19Z,3172,8.6845,639
nomic-ai/gpt4all,gpt4all,nomic-ai,https://github.com/nomic-ai/gpt4all,77376,2023-03-27T18:49:32Z,2025-05-27T20:05:19Z,1129,3.091,337
coder/code-server,code-server,coder,https://github.com/coder/code-server,77338,2019-02-27T16:50:41Z,2026-04-27T17:59:20Z,2618,7.1677,2
jesseduffield/lazygit,lazygit,jesseduffield,https://github.com/jesseduffield/lazygit,77241,2018-05-19T00:53:06Z,2026-04-29T00:15:06Z,2903,7.948,1
PaddlePaddle/PaddleOCR,PaddleOCR,PaddlePaddle,https://github.com/PaddlePaddle/PaddleOCR,76872,2020-05-08T10:38:16Z,2026-04-28T03:51:17Z,2183,5.9767,2
elastic/elasticsearch,elasticsearch,elastic,https://github.com/elastic/elasticsearch,76611,2010-02-08T13:20:56Z,2026-04-30T11:25:26Z,5924,16.219,0
ventoy/Ventoy,Ventoy,ventoy,https://github.com/ventoy/Ventoy,76278,2020-03-10T15:19:19Z,2026-04-24T07:40:01Z,2241,6.1355,6
lobehub/lobehub,lobehub,lobehub,https://github.com/lobehub/lobehub,75883,2023-05-21T07:19:12Z,2026-04-30T11:27:04Z,1075,2.9432,0
typicode/json-server,json-server,typicode,https://github.com/typicode/json-server,75578,2013-11-27T13:21:13Z,2026-03-23T19:40:00Z,4536,12.4189,37
nestjs/nest,nest,nestjs,https://github.com/nestjs/nest,75342,2017-02-04T20:12:52Z,2026-04-30T07:38:42Z,3371,9.2293,0
unionlabs/union,union,unionlabs,https://github.com/unionlabs/union,74112,2023-05-16T22:33:39Z,2026-04-29T12:53:04Z,1079,2.9541,0
redis/redis,redis,redis,https://github.com/redis/redis,74078,2009-03-21T22:32:25Z,2026-04-29T14:04:06Z,6248,17.1061,0
tesseract-ocr/tesseract,tesseract,tesseract-ocr,https://github.com/tesseract-ocr/tesseract,73820,2014-08-12T18:04:59Z,2026-04-27T05:53:42Z,4278,11.7125,3
grafana/grafana,grafana,grafana,https://github.com/grafana/grafana,73512,2013-12-11T15:59:56Z,2026-04-30T11:30:14Z,4522,12.3806,-1
twitter/the-algorithm,the-algorithm,twitter,https://github.com/twitter/the-algorithm,73095,2023-03-27T14:57:57Z,2025-09-08T18:40:54Z,1129,3.091,233
ocornut/imgui,imgui,ocornut,https://github.com/ocornut/imgui,72892,2014-07-21T14:29:47Z,2026-04-28T15:05:01Z,4300,11.7728,1
apache/superset,superset,apache,https://github.com/apache/superset,72654,2015-07-21T18:55:34Z,2026-04-30T10:47:17Z,3935,10.7734,0
PKUFlyingPig/cs-self-learning,cs-self-learning,PKUFlyingPig,https://github.com/PKUFlyingPig/cs-self-learning,72567,2021-10-20T13:43:42Z,2026-02-24T14:45:49Z,1652,4.5229,64
nextlevelbuilder/ui-ux-pro-max-skill,ui-ux-pro-max-skill,nextlevelbuilder,https://github.com/nextlevelbuilder/ui-ux-pro-max-skill,72530,2025-11-30T11:36:31Z,2026-04-03T05:08:19Z,150,0.4107,27
python/cpython,cpython,python,https://github.com/python/cpython,72523,2017-02-10T19:23:51Z,2026-04-30T10:42:34Z,3365,9.2129,0
abi/screenshot-to-code,screenshot-to-code,abi,https://github.com/abi/screenshot-to-code,72414,2023-11-14T17:53:32Z,2026-04-08T17:24:21Z,897,2.4559,21
daytonaio/daytona,daytona,daytonaio,https://github.com/daytonaio/daytona,72403,2024-02-06T08:21:20Z,2026-04-30T10:38:00Z,814,2.2286,0
OpenHands/OpenHands,OpenHands,OpenHands,https://github.com/OpenHands/OpenHands,72401,2024-03-13T03:33:31Z,2026-04-30T07:48:42Z,778,2.13,0
strapi/strapi,strapi,strapi,https://github.com/strapi/strapi,72044,2015-09-30T15:34:48Z,2026-04-30T11:15:56Z,3864,10.5791,0
obsproject/obs-studio,obs-studio,obsproject,https://github.com/obsproject/obs-studio,72043,2013-10-01T02:40:31Z,2026-04-22T01:06:02Z,4594,12.5777,8
caddyserver/caddy,caddy,caddyserver,https://github.com/caddyserver/caddy,71946,2015-01-13T19:45:03Z,2026-04-29T11:52:05Z,4124,11.2909,0
moby/moby,moby,moby,https://github.com/moby/moby,71515,2013-01-18T18:10:57Z,2026-04-29T19:38:32Z,4849,13.2758,0
pallets/flask,flask,pallets,https://github.com/pallets/flask,71479,2010-04-06T11:11:59Z,2026-04-09T04:04:09Z,5868,16.0657,21
protocolbuffers/protobuf,protobuf,protocolbuffers,https://github.com/protocolbuffers/protobuf,71173,2014-08-26T15:52:15Z,2026-04-30T11:21:22Z,4264,11.6742,0
hakimel/reveal.js,reveal.js,hakimel,https://github.com/hakimel/reveal.js,71096,2011-06-07T18:54:22Z,2026-04-20T12:17:17Z,5440,14.8939,9
Eugeny/tabby,tabby,Eugeny,https://github.com/Eugeny/tabby,70818,2016-12-23T09:06:10Z,2026-04-24T14:24:10Z,3415,9.3498,5
hiyouga/LlamaFactory,LlamaFactory,hiyouga,https://github.com/hiyouga/LlamaFactory,70791,2023-05-28T10:09:12Z,2026-04-29T15:21:13Z,1068,2.924,0
binary-husky/gpt_academic,gpt_academic,binary-husky,https://github.com/binary-husky/gpt_academic,70559,2023-03-20T09:05:13Z,2026-01-25T12:33:10Z,1137,3.1129,94
AppFlowy-IO/AppFlowy,AppFlowy,AppFlowy-IO,https://github.com/AppFlowy-IO/AppFlowy,70137,2021-06-16T12:56:48Z,2026-04-24T09:48:29Z,1778,4.8679,6
nektos/act,act,nektos,https://github.com/nektos/act,70093,2019-01-02T19:53:43Z,2026-04-17T22:40:32Z,2674,7.321,12
thedotmack/claude-mem,claude-mem,thedotmack,https://github.com/thedotmack/claude-mem,70038,2025-08-31T20:50:03Z,2026-04-30T08:00:19Z,241,0.6598,0
swiftlang/swift,swift,swiftlang,https://github.com/swiftlang/swift,69943,2015-10-23T21:15:07Z,2026-04-30T09:41:36Z,3841,10.5161,0
Z4nzu/hackingtool,hackingtool,Z4nzu,https://github.com/Z4nzu/hackingtool,68997,2020-04-11T09:21:31Z,2026-03-15T14:33:08Z,2210,6.0507,45
base/node,node,base,https://github.com/base/node,68595,2023-02-01T13:55:02Z,2026-04-29T13:37:30Z,1183,3.2389,0
NationalSecurityAgency/ghidra,ghidra,NationalSecurityAgency,https://github.com/NationalSecurityAgency/ghidra,67871,2019-03-01T03:27:48Z,2026-04-28T10:44:49Z,2617,7.165,2
toeverything/AFFiNE,AFFiNE,toeverything,https://github.com/toeverything/AFFiNE,67853,2022-07-31T18:45:21Z,2026-04-30T04:55:10Z,1368,3.7454,0
chrislgarry/Apollo-11,Apollo-11,chrislgarry,https://github.com/chrislgarry/Apollo-11,67687,2014-04-03T15:45:02Z,2026-01-22T06:10:28Z,4409,12.0712,98
juliangarnier/anime,anime,juliangarnier,https://github.com/juliangarnier/anime,67614,2016-03-13T21:37:45Z,2026-04-30T07:05:21Z,3699,10.1273,0
FoundationAgents/MetaGPT,MetaGPT,FoundationAgents,https://github.com/FoundationAgents/MetaGPT,67578,2023-06-30T09:04:55Z,2026-01-21T10:12:33Z,1035,2.8337,99
chartjs/Chart.js,Chart.js,chartjs,https://github.com/chartjs/Chart.js,67395,2013-03-17T23:56:36Z,2026-04-16T11:49:43Z,4791,13.117,13
OpenBB-finance/OpenBB,OpenBB,OpenBB-finance,https://github.com/OpenBB-finance/OpenBB,66772,2020-12-20T10:46:38Z,2026-04-30T05:14:23Z,1957,5.358,0
leonardomso/33-js-concepts,33-js-concepts,leonardomso,https://github.com/leonardomso/33-js-concepts,66356,2018-09-04T13:27:04Z,2026-04-12T14:37:20Z,2794,7.6496,17
apache/echarts,echarts,apache,https://github.com/apache/echarts,66245,2013-04-03T03:18:59Z,2026-04-29T20:33:59Z,4775,13.0732,0
xtekky/gpt4free,gpt4free,xtekky,https://github.com/xtekky/gpt4free,66145,2023-03-29T17:00:43Z,2026-04-29T04:27:13Z,1127,3.0856,1
scikit-learn/scikit-learn,scikit-learn,scikit-learn,https://github.com/scikit-learn/scikit-learn,65952,2010-08-17T09:43:38Z,2026-04-30T10:27:49Z,5735,15.7016,0
webpack/webpack,webpack,webpack,https://github.com/webpack/webpack,65779,2012-03-10T10:08:14Z,2026-04-30T07:47:04Z,5164,14.1383,0
TheAlgorithms/Java,Java,TheAlgorithms,https://github.com/TheAlgorithms/Java,65504,2016-07-16T10:21:02Z,2026-04-27T18:42:34Z,3575,9.7878,2
kelseyhightower/nocode,nocode,kelseyhightower,https://github.com/kelseyhightower/nocode,65233,2018-02-06T23:54:00Z,2024-08-07T03:19:12Z,3004,8.2245,631
localstack/localstack,localstack,localstack,https://github.com/localstack/localstack,64887,2016-10-25T23:48:03Z,2026-03-23T08:52:01Z,3473,9.5086,38
unclecode/crawl4ai,crawl4ai,unclecode,https://github.com/unclecode/crawl4ai,64803,2024-05-09T09:48:50Z,2026-04-24T16:53:57Z,721,1.974,5
bytedance/deer-flow,deer-flow,bytedance,https://github.com/bytedance/deer-flow,64336,2025-05-07T02:50:19Z,2026-04-30T09:59:59Z,358,0.9802,0
gorhill/uBlock,uBlock,gorhill,https://github.com/gorhill/uBlock,64160,2015-04-01T17:51:11Z,2026-04-29T18:36:29Z,4046,11.0773,0
keras-team/keras,keras,keras-team,https://github.com/keras-team/keras,64050,2015-03-28T00:35:42Z,2026-04-30T10:28:38Z,4051,11.091,0
prometheus/prometheus,prometheus,prometheus,https://github.com/prometheus/prometheus,63849,2012-11-24T11:14:12Z,2026-04-29T15:31:08Z,4905,13.4292,0
alacritty/alacritty,alacritty,alacritty,https://github.com/alacritty/alacritty,63770,2016-02-18T05:02:30Z,2026-04-28T01:21:51Z,3724,10.1958,2
pathwaycom/pathway,pathway,pathwaycom,https://github.com/pathwaycom/pathway,63377,2022-11-27T13:01:14Z,2026-04-30T05:28:03Z,1249,3.4196,0
openinterpreter/open-interpreter,open-interpreter,openinterpreter,https://github.com/openinterpreter/open-interpreter,63354,2023-07-14T07:10:44Z,2026-04-27T06:37:29Z,1021,2.7953,3
unslothai/unsloth,unsloth,unslothai,https://github.com/unslothai/unsloth,63315,2023-11-29T16:50:09Z,2026-04-30T09:58:32Z,882,2.4148,0
BurntSushi/ripgrep,ripgrep,BurntSushi,https://github.com/BurntSushi/ripgrep,63134,2016-03-11T02:02:33Z,2026-02-27T16:25:19Z,3702,10.1355,61
socketio/socket.io,socket.io,socketio,https://github.com/socketio/socket.io,63058,2010-03-11T18:24:48Z,2026-04-27T11:35:34Z,5893,16.1342,2
traefik/traefik,traefik,traefik,https://github.com/traefik/traefik,62929,2015-09-13T19:04:02Z,2026-04-29T14:45:05Z,3881,10.6256,0
nocodb/nocodb,nocodb,nocodb,https://github.com/nocodb/nocodb,62884,2017-10-29T18:51:48Z,2026-04-30T11:10:32Z,3104,8.4983,0
resume/resume.github.com,resume.github.com,resume,https://github.com/resume/resume.github.com,62832,2011-02-06T13:39:55Z,2023-02-15T06:38:51Z,5561,15.2252,1170
rust-lang/rustlings,rustlings,rust-lang,https://github.com/rust-lang/rustlings,62660,2015-09-15T02:25:18Z,2026-04-25T12:14:15Z,3880,10.6229,4
LadybirdBrowser/ladybird,ladybird,LadybirdBrowser,https://github.com/LadybirdBrowser/ladybird,62610,2024-05-30T09:18:10Z,2026-04-30T10:35:40Z,700,1.9165,0
FuelLabs/sway,sway,FuelLabs,https://github.com/FuelLabs/sway,61732,2021-01-19T20:54:33Z,2026-04-30T10:22:35Z,1926,5.2731,0
scrapy/scrapy,scrapy,scrapy,https://github.com/scrapy/scrapy,61501,2010-02-22T02:01:14Z,2026-04-29T21:07:56Z,5911,16.1834,0
reduxjs/redux,redux,reduxjs,https://github.com/reduxjs/redux,61447,2015-05-29T23:53:15Z,2026-04-23T16:09:25Z,3988,10.9185,6
lodash/lodash,lodash,lodash,https://github.com/lodash/lodash,61261,2012-04-07T04:11:46Z,2026-04-22T18:47:42Z,5136,14.0616,7
